Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
v6e-4,google/gemma-3-12b-it,64,64,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,64,128,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,64,256,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,64,512,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,64,1024,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,64,2048,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,64,4096,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,128,128,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,128,256,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,128,512,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,128,1024,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,128,2048,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,128,4096,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,256,256,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,256,512,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,256,1024,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,256,2048,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,256,4096,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,512,512,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,512,1024,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,512,2048,4,1280,sonnet,1000,100
v6e-4,google/gemma-3-12b-it,512,4096,4,1280,sonnet,1000,100

